,token总和,token平均值,统计组数据,设置并发度,误差值,采集数据
0,457,3.01,152,1,2.01,457
1,539,3.55,152,2,0.775,456
2,458,3.01,152,3,0.003,458
3,586,3.88,151,4,0.03,455
4,717,4.75,151,5,0.05,455
5,853,5.61,152,6,0.065,457
6,990,6.51,152,7,0.07,458
7,1135,7.32,155,8,0.085,465
8,1259,8.23,153,9,0.086,461
9,1356,8.86,153,10,0.114,459
10,1388,9.07,153,11,0.175,460
11,1485,9.77,152,12,0.186,458
12,1598,10.44,153,13,0.197,459
13,1815,11.94,152,14,0.147,456
14,2033,13.38,152,15,0.108,456
15,2172,14.29,152,16,0.107,456
16,2304,15.16,152,17,0.108,456
17,2437,16.03,152,18,0.109,457
18,2568,16.89,152,19,0.111,456
19,2719,17.89,152,20,0.105,458
20,2870,18.64,154,21,0.112,463
21,249,19.15,13,22,0.13,40
22,3119,20.39,153,23,0.113,459
23,3327,21.19,157,24,0.117,471
24,3190,20.85,153,25,0.166,459
25,3070,20.07,153,26,0.228,460
26,3150,20.59,153,27,0.237,461
27,3259,21.44,152,28,0.234,457
28,3360,22.11,152,29,0.238,458
29,3502,23.04,152,30,0.232,457
30,3597,23.66,152,31,0.237,456
31,3701,24.35,152,32,0.239,457
32,3811,25.07,152,33,0.24,458
33,4094,26.08,157,34,0.233,471
34,4193,27.23,154,35,0.222,462
35,4850,31.7,153,36,0.119,461
36,4940,32.29,153,37,0.127,459
37,5113,33.42,153,38,0.121,459
38,5209,34.27,152,39,0.121,457
39,5340,35.13,152,40,0.122,456
40,5447,35.84,152,41,0.126,456
41,4883,31.71,154,42,0.245,462
42,4890,32.17,152,43,0.252,456
43,5149,33.88,152,44,0.23,457
44,5162,33.96,152,45,0.245,458
45,5262,34.62,152,46,0.247,457
46,5604,35.92,156,47,0.236,470
47,5671,36.12,157,48,0.248,473
48,5753,36.88,156,49,0.247,469